scenario,disabled_features,f1_nn,f1_svm,f1_rf,f1_avg,feature_json
all_features_on,,0.987518,0.978760,0.971126,0.979134,outputs/feature-ablation/groups/feature-json/feature_group__all_features_on.json
group1_off,Ueber Brust|Tallie cT|Hüfte cH,0.985012,0.980020,0.968620,0.977884,outputs/feature-ablation/groups/feature-json/feature_group__group1_off.json
group2_off,Arm links cC|Arm links cG|Arm rechts cC|Arm rechts cG,0.988711,0.979998,0.968614,0.979108,outputs/feature-ablation/groups/feature-json/feature_group__group2_off.json
group3_off,Geschlecht|Größe,0.983737,0.983757,0.973515,0.980336,outputs/feature-ablation/groups/feature-json/feature_group__group3_off.json
group1_and_2_off,Ueber Brust|Tallie cT|Hüfte cH|Arm links cC|Arm links cG|Arm rechts cC|Arm rechts cG,0.991262,0.982519,0.971095,0.981626,outputs/feature-ablation/groups/feature-json/feature_group__group1_and_2_off.json
group2_and_3_off,Arm links cC|Arm links cG|Arm rechts cC|Arm rechts cG|Geschlecht|Größe,0.986258,0.986245,0.972435,0.981646,outputs/feature-ablation/groups/feature-json/feature_group__group2_and_3_off.json
group1_and_3_off,Ueber Brust|Tallie cT|Hüfte cH|Geschlecht|Größe,0.987500,0.983745,0.971075,0.980773,outputs/feature-ablation/groups/feature-json/feature_group__group1_and_3_off.json
group1_and_2_and_3_off,Ueber Brust|Tallie cT|Hüfte cH|Arm links cC|Arm links cG|Arm rechts cC|Arm rechts cG|Geschlecht|Größe,0.992487,0.983751,0.968476,0.981571,outputs/feature-ablation/groups/feature-json/feature_group__group1_and_2_and_3_off.json
